Competência;Temática;Título;Instituição;Carga Horária;LINK;MODALIDADE
kodksaosk;Desenvolvimento Pessoal;HABILIDADES DE COMUNICAÇÃO INTERPESSOAL NO AMBIENTE DE TRABALHO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2049/?area=3;REMOTO
dfkdpfkpoakdf;Gestão Patrimonial;FISCALIZAÇÃO DA GESTÃO DO PATRIMÔNIO DA UNIÃO;https://acad-inpi.github.io/black/enap-logo.png;45 h/a;https://www.escolavirtual.gov.br/curso/242/;EAD
fddijfioajofijdsa;Gestão Patrimonial;CONTABILIDADE COM FOCO NA GESTÃO DO PATRIMÔNIO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://www.escolavirtual.gov.br/curso/342;EAD
dfifjia;Sustentabilidade;INFRAESTRUTURA E SUSTENTABILIDADE;https://acad-inpi.github.io/black/enap-logo.png;14 h/a;https://suap.enap.gov.br/vitrine/curso/2069/?area=12;REMOTO
dfkkap;Sustentabilidade;SUSTENTABILIDADE NA ADMINISTRAÇÃO PÚBLICA;https://acad-inpi.github.io/black/enap-logo.png;28 h/a;https://www.escolavirtual.gov.br/curso/254/;EAD
kokokapoakpd;Sustentabilidade;CONTRATAÇÕES PÚBLICAS SUSTENTÁVEIS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/430;EAD
kodksaosk;Contratações Públicas;ÉTICA EM CONTRATAÇÕES PÚBLICAS;https://acad-inpi.github.io/black/enap-logo.png;15 h/a;https://suap.enap.gov.br/vitrine/curso/2031/?area=14;REMOTO
dfkdpfkpoakdf;Contratações Públicas;FISCALIZAÇÃO DE OBRAS E SERVIÇOS DE ENGENHARIA;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/2041/?area=14;REMOTO
fddijfioajofijdsa;Contratações Públicas;FORMAÇÃO DE PREGOEIROS - PRÁTICA;https://acad-inpi.github.io/black/enap-logo.png;14 h/a;https://suap.enap.gov.br/vitrine/curso/995/?area=14;REMOTO
dfifjia;Contratações Públicas;GESTÃO DE RISCOS NAS CONTRATAÇÕES PÚBLICAS;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/2070/?area=8;REMOTO
dfkkap;Contratações Públicas;PLANILHA DE CUSTOS E FORMAÇÃO DE PREÇOS;https://acad-inpi.github.io/black/enap-logo.png;28 h/a;https://suap.enap.gov.br/vitrine/curso/1522/?area=14;REMOTO
